Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
01,017,AL,Chambers County,"7,210","5,963","8,457",21.5,17.8,25.2,"2,557","2,128","2,986",34.7,28.9,40.5,"1,972","1,682","2,262",36.3,31.0,41.6,"32,320","30,034","34,606",.,.,.,.,.,.
01,019,AL,Cherokee County,"5,027","3,994","6,060",19.6,15.6,23.6,"1,607","1,247","1,967",29.9,23.2,36.6,"1,104",848,"1,360",26.8,20.6,33.0,"37,868","34,890","40,846",.,.,.,.,.,.
01,021,AL,Chilton County,"8,701","7,185","10,217",20.1,16.6,23.6,"3,218","2,615","3,821",30.2,24.5,35.9,"2,095","1,651","2,539",27.0,21.3,32.7,"39,621","36,341","42,901",.,.,.,.,.,.
01,023,AL,Choctaw County,"2,802","2,259","3,345",20.8,16.8,24.8,890,698,"1,082",30.1,23.6,36.6,602,467,737,26.9,20.8,33.0,"33,390","30,479","36,301",.,.,.,.,.,.
01,025,AL,Clarke County,"5,343","4,340","6,346",21.5,17.5,25.5,"1,881","1,465","2,297",31.8,24.8,38.8,"1,277",983,"1,571",28.3,21.8,34.8,"34,606","31,450","37,762",.,.,.,.,.,.
01,027,AL,Clay County,"2,521","1,983","3,059",19.1,15.0,23.2,887,690,"1,084",30.0,23.3,36.7,620,479,761,28.1,21.7,34.5,"34,579","31,977","37,181",.,.,.,.,.,.
01,029,AL,Cleburne County,"2,712","2,208","3,216",18.6,15.1,22.1,869,687,"1,051",26.0,20.6,31.4,619,488,750,24.6,19.4,29.8,"38,235","34,754","41,716",.,.,.,.,.,.
01,031,AL,Coffee County,"7,650","6,396","8,904",15.1,12.6,17.6,"2,730","2,192","3,268",22.5,18.1,26.9,"1,909","1,522","2,296",21.8,17.4,26.2,"45,631","42,496","48,766",.,.,.,.,.,.
01,033,AL,Colbert County,"8,714","7,054","10,374",16.2,13.1,19.3,"2,969","2,313","3,625",25.3,19.7,30.9,"2,123","1,653","2,593",24.7,19.2,30.2,"39,771","36,851","42,691",.,.,.,.,.,.
01,035,AL,Conecuh County,"4,036","3,354","4,718",31.3,26.0,36.6,"1,330","1,086","1,574",46.3,37.8,54.8,876,701,"1,051",40.3,32.2,48.4,"27,110","24,653","29,567",.,.,.,.,.,.
01,037,AL,Coosa County,"2,276","1,813","2,739",21.0,16.7,25.3,650,510,790,31.1,24.4,37.8,456,357,555,28.6,22.4,34.8,"32,960","29,747","36,173",.,.,.,.,.,.
01,039,AL,Covington County,"7,805","6,607","9,003",20.9,17.7,24.1,"2,859","2,388","3,330",34.0,28.4,39.6,"2,093","1,749","2,437",34.0,28.4,39.6,"34,017","31,347","36,687",.,.,.,.,.,.
01,041,AL,Crenshaw County,"2,794","2,251","3,337",20.1,16.2,24.0,955,740,"1,170",29.0,22.5,35.5,659,506,812,27.6,21.2,34.0,"33,648","30,639","36,657",.,.,.,.,.,.
01,043,AL,Cullman County,"14,851","12,890","16,812",18.7,16.2,21.2,"4,607","3,810","5,404",25.6,21.2,30.0,"3,172","2,580","3,764",24.1,19.6,28.6,"37,938","35,764","40,112",.,.,.,.,.,.
01,045,AL,Dale County,"9,429","7,952","10,906",19.1,16.1,22.1,"3,403","2,773","4,033",28.0,22.8,33.2,"2,359","1,910","2,808",27.1,21.9,32.3,"40,125","36,941","43,309",.,.,.,.,.,.
01,047,AL,Dallas County,"15,588","13,803","17,373",36.8,32.6,41.0,"6,634","5,964","7,304",59.6,53.6,65.6,"4,259","3,713","4,805",53.5,46.6,60.4,"27,400","25,518","29,282",.,.,.,.,.,.
01,049,AL,DeKalb County,"12,711","10,095","15,327",18.1,14.4,21.8,"5,417","4,241","6,593",30.4,23.8,37.0,"3,661","2,826","4,496",28.1,21.7,34.5,"37,644","36,180","39,108",.,.,.,.,.,.
01,051,AL,Elmore County,"10,396","8,618","12,174",13.8,11.4,16.2,"3,767","3,033","4,501",20.5,16.5,24.5,"2,551","2,018","3,084",18.9,14.9,22.9,"52,324","48,833","55,815",.,.,.,.,.,.
01,053,AL,Escambia County,"9,690","8,336","11,044",27.9,24.0,31.8,"3,176","2,683","3,669",37.6,31.8,43.4,"2,192","1,829","2,555",35.7,29.8,41.6,"33,588","30,629","36,547",.,.,.,.,.,.
